id,name,drilling_started,drilling_completed,client_name,owner_name,depth_meters,purpose_is,method_is,drill_name,drill_operator_name,length_meters,is_closed,location_name,isn93_east,isn93_north,wgs84_latitude,wgs84_longitude
23087,"WL-35, #35",NULL,NULL,Íslenzkir Aðalverktakar hf,NULL,NULL,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Njarðvíkurheiði,324902,388920,"63° 57' 33.4""N","22° 34' 29.37""W"
23092,"WL-41?, #41, HB-41",NULL,NULL,Íslenzkir Aðalverktakar hf,NULL,57.3,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Miðnesheiði,324608.7,391663.6,"63° 59' 0.96""N","22° 35' 2.30""W"
23093,"WL-47, #1632",NULL,NULL,Íslenzkir Aðalverktakar hf,NULL,NULL,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Miðnesheiði,322905.3,392450.8,"63° 59' 23.20""N","22° 37' 10.65""W"
23095,"WL-49, #1792",NULL,NULL,Íslenzkir Aðalverktakar hf,NULL,57.3,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Miðnesheiði,321530,391705,"63° 58' 56.61""N","22° 38' 48.46""W"
23101,"MH-14, #8, WL-8A",1978-11-02 00:00:00.0000000,1978-11-16 00:00:00.0000000,Íslenzkir Aðalverktakar hf,NULL,54.7,Kaldavatnshola,Bein hola,Höggbor 5,Jarðboranir ríkisins,NULL,0,Miðnesheiði,323965.3,389856.5,"63° 58' 1.52""N","22° 35' 41.98""W"
23111,"VS-01, #885-1",1988-11-18 00:00:00.0000000,1988-11-25 00:00:00.0000000,"R. E. Wright Associates, Inc.",NULL,64.6,Kaldavatnshola,Bein hola,Narfi,Jarðboranir hf.,NULL,0,Miðnesheiði,325032.3,391124.8,"63° 58' 44.36""N","22° 34' 28.97""W"
23112,VS-21,2000-04-17 00:00:00.0000000,2000-05-08 00:00:00.0000000,NULL,NULL,75,Rannsóknarhola,Bein hola,Hrímnir,Jarðboranir hf.,NULL,0,Miðnesheiði,325592,388896,"63° 57' 33.52""N","22° 33' 38.67""W"
23113,VS-22,2000-04-18 00:00:00.0000000,2000-05-11 00:00:00.0000000,NULL,NULL,76,Rannsóknarhola,Bein hola,Hrímnir,Jarðboranir hf.,NULL,0,Miðnesheiði,324410.4,388490,"63° 57' 18.28""N","22° 35' 3.64""W"
23121,"VS-14, CD-1",1988-11-18 00:00:00.0000000,1988-11-23 00:00:00.0000000,"R. E. Wright Associates, Inc.",NULL,25.5,Kaldavatnshola,Bein hola,Ýmir-II,Jarðboranir hf.,NULL,0,Miðnesheiði,326117.9,391894.3,"63° 59' 11.14""N","22° 33' 12.47""W"
23122,"VS-15, CD-2",1988-11-23 00:00:00.0000000,1988-11-25 00:00:00.0000000,"R. E. Wright Associates, Inc.",NULL,24.1,Kaldavatnshola,Bein hola,Glaumur,Jarðboranir hf.,NULL,0,Miðnesheiði,326081,391830.5,"63° 59' 9.2""N","22° 33' 14.91""W"
23131,"WL-16, #1756",1947-06-05 00:00:00.0000000,1947-06-07 00:00:00.0000000,Metcalfe-Hamilton-Smith-Beck Companies,NULL,44,Kaldavatnshola,Bein hola,Höggbor 2,Jarðboranir ríkisins,NULL,0,Miðnesheiði,321783,391695,"63° 58' 56.76""N","22° 38' 29.85""W"
23140,"WL-36, #36",1958-02-04 00:00:00.0000000,1958-02-11 00:00:00.0000000,Íslenzkir Aðalverktakar hf,NULL,40.8,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Njarðvíkurheiði,325195,388683.7,"63° 57' 25.95""N","22° 34' 6.90""W"
23141,"WL-37, #37",1958-01-12 00:00:00.0000000,1958-01-23 00:00:00.0000000,Íslenzkir Aðalverktakar hf,NULL,36.6,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Njarðvíkurheiði,325567,388558.3,"63° 57' 22.59""N","22° 33' 39.10""W"
23142,"WL-38, #38",1958-01-07 00:00:00.0000000,1958-01-10 00:00:00.0000000,Íslenzkir Aðalverktakar hf,NULL,32.9,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Njarðvíkurheiði,325810.9,388248,"63° 57' 13.3""N","22° 33' 19.94""W"
23143,"WL-39, #39",1958-02-13 00:00:00.0000000,1958-02-21 00:00:00.0000000,Íslenzkir Aðalverktakar hf,NULL,29,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Njarðvíkurheiði,325913.6,387775.2,"63° 56' 57.97""N","22° 33' 10.45""W"
23144,"WL-40, #40",1957-11-05 00:00:00.0000000,1957-11-15 00:00:00.0000000,Íslenzkir Aðalverktakar hf,NULL,28.7,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Njarðvíkurheiði,326347,387718,"63° 56' 56.91""N","22° 32' 38.44""W"
23161,KF-01,1953-11-04 00:00:00.0000000,1953-11-04 00:00:00.0000000,Varnarliðið,NULL,NULL,Mannvirkjagerð,Bein hola,Sullivan 1,Jarðboranir ríkisins,NULL,0,Miðnesheiði,322300,391300,"63° 58' 44.98""N","22° 37' 50.23""W"
23162,KF-02,1953-11-05 00:00:00.0000000,1953-11-06 00:00:00.0000000,Varnarliðið,NULL,1.5,Mannvirkjagerð,Bein hola,Sullivan 1,Jarðboranir ríkisins,NULL,0,Miðnesheiði,322305,391305,"63° 58' 45.15""N","22° 37' 49.89""W"
23163,KF-03,1953-11-06 00:00:00.0000000,1953-11-09 00:00:00.0000000,Varnarliðið,NULL,5.7,Mannvirkjagerð,Bein hola,Sullivan 1,Jarðboranir ríkisins,NULL,0,Miðnesheiði,322310,391310,"63° 58' 45.32""N","22° 37' 49.54""W"
23164,KF-04,1953-11-09 00:00:00.0000000,1953-11-09 00:00:00.0000000,Varnarliðið,NULL,5.5,Mannvirkjagerð,Bein hola,Sullivan 1,Jarðboranir ríkisins,NULL,0,Miðnesheiði,322315,391315,"63° 58' 45.49""N","22° 37' 49.19""W"
23165,KF-05,1953-11-10 00:00:00.0000000,1953-11-10 00:00:00.0000000,Varnarliðið,NULL,6,Mannvirkjagerð,Bein hola,Sullivan 1,Jarðboranir ríkisins,NULL,0,Miðnesheiði,322320,391320,"63° 58' 45.66""N","22° 37' 48.85""W"
23166,KF-06,1953-11-11 00:00:00.0000000,1953-11-12 00:00:00.0000000,Varnarliðið,NULL,1.5,Mannvirkjagerð,Bein hola,Sullivan 1,Jarðboranir ríkisins,NULL,0,Miðnesheiði,322325,391325,"63° 58' 45.83""N","22° 37' 48.50""W"
23167,KF-07,1953-11-13 00:00:00.0000000,1953-11-13 00:00:00.0000000,Varnarliðið,NULL,6.1,Mannvirkjagerð,Bein hola,Sullivan 1,Jarðboranir ríkisins,NULL,0,Miðnesheiði,322330,391330,"63° 58' 46.0""N","22° 37' 48.16""W"
23171,GV-01,2009-11-16 00:00:00.0000000,2009-11-24 00:00:00.0000000,Verne Holdings ehf,NULL,109,Jarðskautshola,Bein hola,Klaki,Vatnsborun ehf.,NULL,0,Miðnesheiði,324815.2,390855.7,"63° 58' 35.29""N","22° 34' 43.78""W"
23172,GV-02,2012-12-12 00:00:00.0000000,2013-01-05 00:00:00.0000000,Verne Holdings ehf,NULL,102,Jarðskautshola,Bein hola,Krapi,Vatnsborun ehf.,NULL,0,Miðnesheiði,324970,390900,"63° 58' 37.0""N","22° 34' 32.61""W"
23173,GV-03,2015-10-09 00:00:00.0000000,2015-10-10 00:00:00.0000000,Verne Holdings ehf,NULL,108,Jarðskautshola,Bein hola,Karl Gustaf,Ræktunarsamband Flóa og Skeiða hf.,NULL,0,Miðnesheiði,324990.3,390990.6,"63° 58' 39.96""N","22° 34' 31.49""W"
23201,ÖH-01,1997-10-01 00:00:00.0000000,1997-11-30 00:00:00.0000000,Sorpeyðingastöð Suðurnesja,NULL,11,Rannsóknarhola,Bein hola,Sænskur loftbor,Borverk hf (Jökull Ólafsson),NULL,0,Básendar,318106.6,389142.2,"63° 57' 27.56""N","22° 42' 48.65""W"
23202,ÖH-02,1997-10-01 00:00:00.0000000,1997-11-30 00:00:00.0000000,Sorpeyðingastöð Suðurnesja,NULL,13.3,Rannsóknarhola,Bein hola,Sænskur loftbor,Borverk hf (Jökull Ólafsson),NULL,0,Básendar,317959.4,389271.9,"63° 57' 31.46""N","22° 43' 0.1""W"
23203,ÖH-03,1997-10-01 00:00:00.0000000,1997-11-30 00:00:00.0000000,Sorpeyðingastöð Suðurnesja,NULL,14.2,Rannsóknarhola,Bein hola,Sænskur loftbor,Borverk hf (Jökull Ólafsson),NULL,0,Básendar,317644.1,389602.8,"63° 57' 41.53""N","22° 43' 24.56""W"
23204,ÖH-04,1997-10-01 00:00:00.0000000,1997-11-30 00:00:00.0000000,Sorpeyðingastöð Suðurnesja,NULL,22,Rannsóknarhola,Bein hola,Sænskur loftbor,Borverk hf (Jökull Ólafsson),NULL,0,Básendar,318338.6,390148.4,"63° 58' 0.43""N","22° 42' 35.98""W"
23205,ÖH-05,1999-10-13 00:00:00.0000000,1999-10-13 00:00:00.0000000,Sorpeyðingastöð Suðurnesja,NULL,19,Rannsóknarhola,Bein hola,Trölli,Ræktunarsamband Flóa og Skeiða hf.,NULL,0,Básendar,317346.9,389917.7,"63° 57' 51.11""N","22° 43' 47.72""W"
23206,ÖH-06,2000-05-18 00:00:00.0000000,2000-05-22 00:00:00.0000000,Sorpeyðingastöð Suðurnesja,NULL,10.5,Rannsóknarhola,Bein hola,Trölli,Ræktunarsamband Flóa og Skeiða hf.,NULL,0,Básendar,317350.1,389994.2,"63° 57' 53.59""N","22° 43' 47.81""W"
23207,ÖH-07,2000-05-18 00:00:00.0000000,2000-05-22 00:00:00.0000000,Sorpeyðingastöð Suðurnesja,NULL,15.5,Rannsóknarhola,Bein hola,Trölli,Ræktunarsamband Flóa og Skeiða hf.,NULL,0,Básendar,317505.2,389942.9,"63° 57' 52.23""N","22° 43' 36.22""W"
23211,KEL-01,2007-11-16 00:00:00.0000000,2007-11-16 00:00:00.0000000,Þróunarfélag Keflavíkurflugvallar ehf.,NULL,43,Rannsóknarhola,Bein hola,Trölli,Ræktunarsamband Flóa og Skeiða hf.,NULL,0,Miðnesheiði,324502.3,388648.3,"63° 57' 23.55""N","22° 34' 57.56""W"
23212,KEL-02,2007-11-17 00:00:00.0000000,2007-11-17 00:00:00.0000000,Þróunarfélag Keflavíkurflugvallar ehf.,NULL,43,Rannsóknarhola,Bein hola,Trölli,Ræktunarsamband Flóa og Skeiða hf.,NULL,0,Miðnesheiði,324406.5,389143.1,"63° 57' 39.33""N","22° 35' 6.64""W"
23213,KEL-03,2007-11-18 00:00:00.0000000,2007-11-18 00:00:00.0000000,Þróunarfélag Keflavíkurflugvallar ehf.,NULL,43,Rannsóknarhola,Bein hola,Trölli,Ræktunarsamband Flóa og Skeiða hf.,NULL,0,Miðnesheiði,324071.7,388781.9,"63° 57' 27.7""N","22° 35' 29.69""W"
23214,KEL-04,2007-11-18 00:00:00.0000000,2007-11-18 00:00:00.0000000,Þróunarfélag Keflavíkurflugvallar ehf.,NULL,43,Rannsóknarhola,Bein hola,Trölli,Ræktunarsamband Flóa og Skeiða hf.,NULL,0,Miðnesheiði,324291.2,388501.1,"63° 57' 18.42""N","22° 35' 12.43""W"
23221,DM-01,2023-07-01 00:00:00.0000000,NULL,Veitur ohf.,NULL,63,Hitastigulshola,Bein hola,Kátur,Bergborun,NULL,0,Dalsmynni,362674.8,422402.5,"64° 16' 34.70""N","21° 50' 7.63""W"
23222,DM-02,2023-07-01 00:00:00.0000000,NULL,Veitur ohf.,NULL,66,Hitastigulshola,Bein hola,Kátur,Bergborun,NULL,0,Dalsmynni,362418.2,422253.8,"64° 16' 29.53""N","21° 50' 26.18""W"
23223,DM-03,2023-07-01 00:00:00.0000000,NULL,Veitur ohf.,NULL,66,Hitastigulshola,Bein hola,Kátur,Bergborun,NULL,0,Dalsmynni,362205.5,422063.8,"64° 16' 23.9""N","21° 50' 41.34""W"
